,Tickers,Company,Sector,Sub_industry,HeadQuarters,Founded
0,MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1902
1,ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1888
2,ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",2013 (1888)
3,ABMD,ABIOMED Inc,Health Care,Health Care Equipment,"Danvers, Massachusetts",1981
4,ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",1989
5,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2008
6,ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California",1982
7,AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,"Sunnyvale, California",1969
8,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",1932
9,AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1981
10,AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,"West Palm Beach, Florida",1993
11,AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",1955
12,A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",1999
13,APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",1940
14,AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",1998
15,ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",1985
16,ALB,Albemarle Corp,Materials,Specialty Chemicals,"Charlotte, North Carolina",1994
17,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",1994
18,ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",1992
19,ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",1997
20,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",1908
21,AGN,"Allergan, Plc",Health Care,Pharmaceuticals,"Dublin, Ireland",1983
22,ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",1996
23,LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",1917
24,ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1931
25,GOOGL,Alphabet Inc Class A,Communication Services,Interactive Media & Services,"Mountain View, California",1998
26,GOOG,Alphabet Inc Class C,Communication Services,Interactive Media & Services,"Mountain View, California",1998
27,MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",1985
28,AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",1994
29,AMCR,Amcor plc,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",
30,AEE,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri",1902
31,AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",1934
32,AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1906
33,AXP,American Express Co,Financials,Consumer Finance,"New York, New York",1850
34,AIG,American International Group,Financials,Property & Casualty Insurance,"New York, New York",1919
35,AMT,American Tower Corp.,Real Estate,Specialized REITs,"Boston, Massachusetts",1995
36,AWK,American Water Works Company Inc,Utilities,Water Utilities,"Camden, New Jersey",1886
37,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",1894
38,ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",1985
39,AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",1930
40,AMGN,Amgen Inc.,Health Care,Biotechnology,"Thousand Oaks, California",1980
41,APH,Amphenol Corp,Information Technology,Electronic Components,"Wallingford, Connecticut",1932
42,ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",1965
43,ANSS,ANSYS,Information Technology,Application Software,"Canonsburg, Pennsylvania",1969
44,ANTM,Anthem,Health Care,Managed Health Care,"Indianapolis, Indiana",2014 (1940s)
45,AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",1982 (1919)
46,AOS,A.O. Smith Corp,Industrials,Building Products,"Milwaukee, Wisconsin",1916
47,APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1954
48,AIV,Apartment Investment & Management,Real Estate,Residential REITs,"Denver, Colorado",1994 (1975)
49,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977
50,AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,"Santa Clara, California",1967
51,APTV,Aptiv Plc,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",1994
52,ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Chicago, Illinois",1902
53,ARNC,Arconic Inc.,Industrials,Aerospace & Defense,"New York, New York",2016
54,ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",2004
55,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois",
56,AIZ,Assurant,Financials,Multi-line Insurance,"New York, New York",
57,ATO,Atmos Energy Corp,Utilities,Gas Utilities,"Dallas, Texas",1906
58,T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983
59,ADSK,Autodesk Inc.,Information Technology,Application Software,"San Rafael, California",
60,ADP,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,"Roseland, New Jersey",
61,AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",
62,AVB,"AvalonBay Communities, Inc.",Real Estate,Residential REITs,"Arlington, Virginia[3]",
63,AVY,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California",
64,BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2017
65,BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",
66,BAC,Bank of America Corp,Financials,Diversified Banks,"Charlotte, North Carolina",
67,BK,The Bank of New York Mellon Corp.,Financials,Asset Management & Custody Banks,"New York, New York",
68,BAX,Baxter International Inc.,Health Care,Health Care Equipment,"Deerfield, Illinois",1931
69,BBT,BB&T Corporation,Financials,Regional Banks,"Winston-Salem, North Carolina",
70,BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1897
71,BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",
72,BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",
73,BIIB,Biogen Inc.,Health Care,Biotechnology,"Cambridge, Massachusetts",
74,BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York, New York",
75,BA,Boeing Company,Industrials,Aerospace & Defense,"Chicago, Illinois",1916
76,BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",
77,BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",
78,BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",
79,BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",
80,BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,"New York, New York",1989
81,AVGO,Broadcom Inc.,Information Technology,Semiconductors,"San Jose, California",
82,BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",1962
83,BF.B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",
84,CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",
85,COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,"Houston, Texas",
86,CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",
87,CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",1869
88,COF,Capital One Financial,Financials,Consumer Finance,"Tysons Corner, Virginia",1935
89,CPRI,Capri Holdings,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",
90,CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,"Dublin, Ohio",
91,KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",
92,CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",
93,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",1925
94,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",
95,CBRE,CBRE Group,Real Estate,Real Estate Services,"Los Angeles, California",
96,CDW,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",1984
97,CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",
98,CNC,Centene Corporation,Health Care,Managed Health Care,"St Louis, Missouri",
99,CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",
100,CTL,CenturyLink Inc,Communication Services,Integrated Telecommunication Services,"Monroe, Louisiana",
101,CERN,Cerner,Health Care,Health Care Technology,"North Kansas City, Missouri",
102,CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",
103,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"San Francisco, California",
104,CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",
105,CVX,Chevron Corp.,Energy,Integrated Oil & Gas,"San Ramon, California",1879
106,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",
107,CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",
108,CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",
109,CI,CIGNA Corp.,Health Care,Managed Health Care,"Bloomfield, Connecticut",
110,XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",
111,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",
112,CTAS,Cintas Corporation,Industrials,Diversified Support Services,"Mason, Ohio",
113,CSCO,Cisco Systems,Information Technology,Communications Equipment,"San Jose, California",
114,C,Citigroup Inc.,Financials,Diversified Banks,"New York, New York",
115,CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",
116,CTXS,Citrix Systems,Information Technology,Application Software,"Fort Lauderdale, Florida",
117,CLX,The Clorox Company,Consumer Staples,Household Products,"Oakland, California",1913
118,CME,CME Group Inc.,Financials,Financial Exchanges & Data,"Chicago, Illinois",
119,CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",
120,KO,Coca-Cola Company,Consumer Staples,Soft Drinks,"Atlanta, Georgia",1886
121,CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",
122,CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York, New York",1806
123,CMCSA,Comcast Corp.,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",
124,CMA,Comerica Inc.,Financials,Diversified Banks,"Dallas, Texas",
125,CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",
126,CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,"Midland, Texas",
127,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2002
128,ED,Consolidated Edison,Utilities,Electric Utilities,"New York, New York",1823
129,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",
130,COO,The Cooper Companies,Health Care,Health Care Supplies,"Pleasanton, California",
131,CPRT,Copart Inc,Industrials,Diversified Support Services,"Dallas, Texas",
132,GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",1851
133,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",2019
134,COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",
135,COTY,"Coty, Inc",Consumer Staples,Personal Products,"New York, New York",
136,CCI,Crown Castle International Corp.,Real Estate,Specialized REITs,"Houston, Texas",
137,CSX,CSX Corp.,Industrials,Railroads,"Jacksonville, Florida",1980
138,CMI,Cummins Inc.,Industrials,Industrial Machinery,"Columbus, Indiana",1919
139,CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",1996
140,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",1978
141,DHR,Danaher Corp.,Health Care,Health Care Equipment,"Washington, D.C.",1969
142,DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",1938
143,DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",
144,DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1837
145,DAL,Delta Air Lines Inc.,Industrials,Airlines,"Atlanta, Georgia",
146,XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"York, Pennsylvania",
147,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",
148,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2007
149,DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,"San Francisco, California",
150,DFS,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois",
151,DISCA,Discovery Inc. Class A,Communication Services,Broadcasting,"Silver Spring, Maryland",
152,DISCK,Discovery Inc. Class C,Communication Services,Broadcasting,"Silver Spring, Maryland",
153,DISH,Dish Network,Communication Services,Cable & Satellite,"Meridian, Colorado",
154,DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",
155,DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",
156,D,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",1983
157,DOV,Dover Corp.,Industrials,Industrial Machinery,"Downers Grove, Illinois",
158,DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",2019
159,DTE,DTE Energy Co.,Utilities,Multi-Utilities,"Detroit, Michigan",1995
160,DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",
161,DRE,Duke Realty Corp,Real Estate,Industrial REITs,"Indianapolis, Indiana",
162,DD,DuPont de Nemours Inc,Materials,Specialty Chemicals,"Midland, Michigan",2017
163,DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",
164,ETFC,E*Trade,Financials,Investment Banking & Brokerage,"New York, New York",
165,EMN,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee",
166,ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",1911
167,EBAY,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",1995
168,ECL,Ecolab Inc.,Materials,Specialty Chemicals,"St. Paul, Minnesota",
169,EIX,Edison Int'l,Utilities,Electric Utilities,"Rosemead, California",1886
170,EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",
171,EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",
172,EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1890
173,ETR,Entergy Corp.,Utilities,Electric Utilities,"New Orleans, Louisiana",1913
174,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",
175,EFX,Equifax Inc.,Industrials,Research & Consulting Services,"Atlanta, Georgia",
176,EQIX,Equinix,Real Estate,Specialized REITs,"Redwood City, California",
177,EQR,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois",
178,ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,"Palo Alto, California",
179,EL,Estee Lauder Cos.,Consumer Staples,Personal Products,"New York, New York",
180,EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",1909
181,ES,Eversource Energy,Utilities,Multi-Utilities,"Springfield, Massachusetts",1966
182,RE,Everest Re Group Ltd.,Financials,Reinsurance,"Hamilton, Bermuda",
183,EXC,Exelon Corp.,Utilities,Multi-Utilities,"Chicago, Illinois",2000
184,EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Bellevue, Washington",
185,EXPD,Expeditors,Industrials,Air Freight & Logistics,"Seattle, Washington",
186,EXR,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah",
187,XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",1999
188,FFIV,F5 Networks,Information Technology,Communications Equipment,"Seattle, Washington",1996
189,FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,"Menlo Park, California",
190,FAST,Fastenal Co,Industrials,Building Products,"Winona, Minnesota",
191,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",
192,FDX,FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee",
193,FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",
194,FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1858
195,FE,FirstEnergy Corp,Utilities,Electric Utilities,"Akron, Ohio",1997
196,FRC,First Republic Bank,Financials,Regional Banks,"San Francisco, California",1985
197,FISV,Fiserv Inc,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",
198,FLT,FleetCor Technologies Inc,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",2000
199,FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",
200,FLS,Flowserve Corporation,Industrials,Industrial Machinery,"Irving, Texas",
201,FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",
202,F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",1903
203,FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",2000
204,FTV,Fortive Corp,Industrials,Industrial Machinery,"Everett, Washington",
205,FBHS,Fortune Brands Home & Security,Industrials,Building Products,"Deerfield, Illinois",
206,FOXA,Fox Corporation Class A,Communication Services,Movies & Entertainment,"New York, New York",
207,FOX,Fox Corporation Class B,Communication Services,Movies & Entertainment,"New York, New York",
208,BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",1947
209,FCX,Freeport-McMoRan Inc.,Materials,Copper,"Phoenix, Arizona",1912
210,GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,"San Francisco, California",
211,GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",
212,IT,Gartner Inc,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",
213,GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",1899
214,GE,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts",1892
215,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1856
216,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",
217,GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",1925
218,GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",
219,GL,Globe Life Inc.,Financials,Life & Health Insurance,"McKinney, Texas",
220,GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",
221,GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,"New York, New York",
222,GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,"Lake Forest, Illinois",
223,HRB,H&R Block,Consumer Discretionary,Specialized Consumer Services,"Kansas City, Missouri",
224,HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1919
225,HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",
226,HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",1903
227,HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,"Hartford, Connecticut",
228,HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",
229,HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",
230,PEAK,Healthpeak Properties,Real Estate,Health Care REITs,"Long Beach, California",
231,HP,Helmerich & Payne,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[5]",
232,HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",
233,HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",1894
234,HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York, New York",
235,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",
236,HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",
237,HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas",
238,HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",
239,HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",
240,HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,"Morristown, New Jersey",1906
241,HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",
242,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",
243,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1939 (2015)
244,HUM,Humana Inc.,Health Care,Managed Health Care,"Louisville, Kentucky",1961
245,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio",1866
246,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",
247,IEX,IDEX Corporation,Industrials,Industrial Machinery,"Lake Forest, Illinois",1988
248,IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",
249,INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,"London, United Kingdom",
